"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.707589060E-1,-1.145622134E-1,3.995271772E-2,1.763648540E-2
8.732535750E-1,-1.293675303E-1,4.473238811E-2,1.642074995E-2
8.757500760E-1,-1.408087611E-1,5.016156286E-2,1.575459354E-2
8.782193550E-1,-1.489192098E-1,5.435834453E-2,1.427239645E-2
8.807394550E-1,-1.542484611E-1,5.743931606E-2,9.242917411E-3
8.832584990E-1,-1.556807011E-1,6.118644774E-2,6.977986079E-3
8.857282660E-1,-1.544316560E-1,6.689873338E-2,3.513973905E-3
8.882183380E-1,-1.489525288E-1,6.924693286E-2,8.493491332E-4
8.906945740E-1,-1.434400827E-1,7.252775878E-2,-8.326952229E-5
8.932143500E-1,-1.350132078E-1,7.472606748E-2,-3.530627815E-3
8.956834260E-1,-1.227226257E-1,7.382676005E-2,-3.663859097E-3
8.982038520E-1,-1.096493080E-1,7.211140543E-2,-4.729709122E-3
9.007018990E-1,-9.389471263E-2,7.121209800E-2,-3.497319994E-4
9.032183380E-1,-7.829000801E-2,6.748162210E-2,-4.829632526E-4
9.056896510E-1,-6.188591197E-2,6.308498979E-2,9.825803572E-4
9.081745550E-1,-4.456584901E-2,5.842189863E-2,3.897013841E-3
9.106789090E-1,-2.991041355E-2,5.232656747E-2,9.342840873E-3
9.131867210E-1,-1.485528331E-2,4.688074067E-2,1.200746559E-2
9.156444040E-1,-1.798621728E-3,4.225095734E-2,1.613763347E-2
9.181566110E-1,1.110815443E-2,3.483996913E-2,2.198315412E-2
9.206599060E-1,2.028445527E-2,2.982714400E-2,2.371516079E-2
9.231542910E-1,2.747894265E-2,2.657963149E-2,2.716251835E-2
9.256700790E-1,3.239184618E-2,2.189988457E-2,3.169238195E-2
9.281476590E-1,3.437365964E-2,1.910202950E-2,3.620558977E-2
9.306400900E-1,3.515639156E-2,1.682044379E-2,3.633882105E-2
9.330981800E-1,3.340773284E-2,1.617094129E-2,3.912002221E-2
9.356296740E-1,3.115945682E-2,1.740333065E-2,4.056891054E-2
9.380992780E-1,2.461447194E-2,1.745329238E-2,4.031910375E-2
9.406431020E-1,2.008460835E-2,2.028445527E-2,3.963629529E-2
