"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.403836690E-1,-2.826167643E-2,3.898679093E-2,-3.703828529E-2
8.429034850E-1,-3.705493733E-2,4.253407195E-2,-3.812078759E-2
8.453990910E-1,-4.171803221E-2,4.403292388E-2,-3.956967965E-2
8.478841970E-1,-4.651435465E-2,4.618127644E-2,-4.381642491E-2
8.504032810E-1,-4.733039811E-2,4.604804516E-2,-4.713055119E-2
8.528632430E-1,-4.624789208E-2,4.802986234E-2,-4.886255786E-2
8.553780540E-1,-4.265065119E-2,4.639777914E-2,-5.164375901E-2
8.578738220E-1,-3.477335349E-2,4.659762606E-2,-5.269295350E-2
8.603686540E-1,-2.543051355E-2,4.449923337E-2,-5.547415838E-2
8.628870060E-1,-1.477201376E-2,4.146822169E-2,-5.718950927E-2
8.653325210E-1,-2.381508471E-3,3.897013888E-2,-5.745597184E-2
8.678527850E-1,1.002565026E-2,3.578924015E-2,-6.035375223E-2
8.703481060E-1,2.403158508E-2,3.369085118E-2,-5.995405838E-2
8.728428160E-1,3.493989259E-2,2.957733534E-2,-6.298507005E-2
8.753120140E-1,4.534858465E-2,2.749559656E-2,-6.245214492E-2
8.778092060E-1,5.440830812E-2,2.409820072E-2,-6.125306338E-2
8.803028990E-1,6.065352261E-2,2.030110918E-2,-6.138629466E-2
8.827969580E-1,6.385107338E-2,2.001799271E-2,-6.216902658E-2
8.853053810E-1,6.343472004E-2,1.682044379E-2,-6.123640761E-2
8.877869490E-1,6.077009812E-2,1.778637059E-2,-5.885490030E-2
8.902844660E-1,5.555742607E-2,1.663725078E-2,-5.645673722E-2
8.928028590E-1,4.726378247E-2,1.537155453E-2,-5.605704337E-2
8.952972030E-1,3.618893400E-2,1.665390469E-2,-5.474138632E-2
8.977917500E-1,2.471439540E-2,1.770310104E-2,-5.036140978E-2
9.002616390E-1,9.242917411E-3,1.998468488E-2,-4.586485401E-2
9.027568380E-1,-6.511676591E-3,2.223296277E-2,-4.454919696E-2
9.052768980E-1,-2.025114745E-2,2.409820072E-2,-4.241749644E-2
9.077724220E-1,-3.545616195E-2,2.716251835E-2,-3.912002221E-2
9.102714050E-1,-4.917898029E-2,2.967725880E-2,-3.780436516E-2
9.127383240E-1,-6.290179491E-2,3.420712054E-2,-3.384073451E-2
9.152310810E-1,-7.424310595E-2,3.590581939E-2,-3.264165297E-2
9.177513040E-1,-8.182063699E-2,4.050229490E-2,-3.212538362E-2
9.202465030E-1,-8.713322878E-2,4.321688414E-2,-3.041003086E-2
